Team 1,Team 2,Venue
Australia,India,"Sher-e-Bangla National Stadium, Bangladesh"
Australia,India,"Alokozay Kabul International Cricket Ground, Afghanistan"
Australia,India,"Sher-e-Bangla National Stadium, Bangladesh"
Australia,India,"Galle International Stadium, Sri Lanka"
Australia,India,"Wanderers Stadium, South Africa"
Australia,India,"Kensington Oval, Barbados, West Indies"
Australia,India,"Lord's, England"
Australia,India,"Alokozay Kabul International Cricket Ground, Afghanistan"
Australia,India,"R. Premadasa Stadium, Sri Lanka"
Australia,India,"R. Premadasa Stadium, Sri Lanka"
Australia,England,"Gaddafi Stadium, Pakistan"
Australia,England,"Kabul International Cricket Stadium, Afghanistan"
Australia,England,"Sher-e-Bangla National Stadium, Bangladesh"
Australia,England,"Gaddafi Stadium, Pakistan"
Australia,England,"Kensington Oval, Barbados, West Indies"
Australia,England,"Sher-e-Bangla National Stadium, Bangladesh"
Australia,England,"Gaddafi Stadium, Pakistan"
Australia,England,"Eden Park, New Zealand"
Australia,England,"Eden Park, New Zealand"
Australia,England,"Kensington Oval, Barbados, West Indies"
Australia,South Africa,"Newlands, South Africa"
Australia,South Africa,"Eden Park, New Zealand"
Australia,South Africa,"Eden Gardens, India"
Australia,South Africa,"Alokozay Kabul International Cricket Ground, Afghanistan"
Australia,South Africa,"R. Premadasa Stadium, Sri Lanka"
Australia,South Africa,"Sydney Cricket Ground, Australia"
Australia,South Africa,"National Stadium, Karachi, Pakistan"
Australia,South Africa,"Melbourne Cricket Ground, Australia"
Australia,South Africa,"Kensington Oval, Barbados, West Indies"
Australia,South Africa,"Wanderers Stadium, South Africa"
Australia,New Zealand,"Sydney Cricket Ground, Australia"
Australia,New Zealand,"Gaddafi Stadium, Pakistan"
Australia,New Zealand,"Wanderers Stadium, South Africa"
Australia,New Zealand,"Hagley Oval, New Zealand"
Australia,New Zealand,"National Stadium, Karachi, Pakistan"
Australia,New Zealand,"Wanderers Stadium, South Africa"
Australia,New Zealand,"Kensington Oval, Barbados, West Indies"
Australia,New Zealand,"Lord's, England"
Australia,New Zealand,"Wankhede Stadium, India"
Australia,New Zealand,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
Australia,Pakistan,"Sher-e-Bangla National Stadium, Bangladesh"
Australia,Pakistan,"Melbourne Cricket Ground, Australia"
Australia,Pakistan,"Hagley Oval, New Zealand"
Australia,Pakistan,"Kensington Oval, Barbados, West Indies"
Australia,Pakistan,"Queen's Park Oval, Trinidad, West Indies"
Australia,Pakistan,"Wankhede Stadium, India"
Australia,Pakistan,"Lord's, England"
Australia,Pakistan,"Sydney Cricket Ground, Australia"
Australia,Pakistan,"National Stadium, Karachi, Pakistan"
Australia,Pakistan,"Old Trafford, England"
Australia,Sri Lanka,"Queen's Park Oval, Trinidad, West Indies"
Australia,Sri Lanka,"R. Premadasa Stadium, Sri Lanka"
Australia,Sri Lanka,"National Stadium, Karachi, Pakistan"
Australia,Sri Lanka,"Queen's Park Oval, Trinidad, West Indies"
Australia,Sri Lanka,"Newlands, South Africa"
Australia,Sri Lanka,"Sher-e-Bangla National Stadium, Bangladesh"
Australia,Sri Lanka,"R. Premadasa Stadium, Sri Lanka"
Australia,Sri Lanka,"Newlands, South Africa"
Australia,Sri Lanka,"Alokozay Kabul International Cricket Ground, Afghanistan"
Australia,Sri Lanka,"R. Premadasa Stadium, Sri Lanka"
Australia,West Indies,"Hagley Oval, New Zealand"
Australia,West Indies,"Zahur Ahmed Chowdhury Stadium, Bangladesh"
Australia,West Indies,"Eden Gardens, India"
Australia,West Indies,"Eden Gardens, India"
Australia,West Indies,"Alokozay Kabul International Cricket Ground, Afghanistan"
Australia,West Indies,"Kensington Oval, Barbados, West Indies"
Australia,West Indies,"Sher-e-Bangla National Stadium, Bangladesh"
Australia,West Indies,"Alokozay Kabul International Cricket Ground, Afghanistan"
Australia,West Indies,"Alokozay Kabul International Cricket Ground, Afghanistan"
Australia,West Indies,"R. Premadasa Stadium, Sri Lanka"
Australia,Bangladesh,"Eden Park, New Zealand"
Australia,Bangladesh,"National Stadium, Karachi, Pakistan"
Australia,Bangladesh,"Gaddafi Stadium, Pakistan"
Australia,Bangladesh,"Eden Park, New Zealand"
Australia,Bangladesh,"Newlands, South Africa"
Australia,Bangladesh,"Kensington Oval, Barbados, West Indies"
Australia,Bangladesh,"Wankhede Stadium, India"
Australia,Bangladesh,"Eden Gardens, India"
Australia,Bangladesh,"Gaddafi Stadium, Pakistan"
Australia,Bangladesh,"Gaddafi Stadium, Pakistan"
Australia,Afghanistan,"Sher-e-Bangla National Stadium, Bangladesh"
