Team 1,Team 2,Venue,Winner,Man of the Match,Toss Winner
Scotland,Netherlands,"Surat Cricket Stadium, India",Scotland,Richie Berrington,Scotland
Pakistan,West Indies,"VRA Cricket Ground, Netherlands",West Indies,Chris Gayle,West Indies
Scotland,West Indies,"Adelaide Oval, Australia",Scotland,Kyle Coetzer,Scotland
England,Sri Lanka,"Motera Stadium, India",Sri Lanka,Dinesh Chandimal,Sri Lanka
United Arab Emirates,Pakistan,"Ranchi Cricket Stadium, India",Pakistan,Babar Azam,Pakistan
West Indies,Netherlands,"Jharkhand State Cricket Association Stadium, India",West Indies,Chris Gayle,Netherlands
Ireland,Scotland,"Gaddafi Stadium, Pakistan",Ireland,Josh Little,Ireland
Ireland,Bangladesh,"Pune Cricket Stadium, India",Bangladesh,Mahmudullah,Ireland
Hong Kong,United Arab Emirates,"Kochi Cricket Stadium, India",Hong Kong,Nizakat Khan,Hong Kong
Sri Lanka,West Indies,"Rajiv Gandhi International Cricket Stadium, India",Sri Lanka,Lasith Malinga,Sri Lanka
England,New Zealand,"Kochi Cricket Stadium, India",New Zealand,Kyle Jamieson,England
Nepal,Ireland,"Bellerive Oval, Australia",Nepal,Sandeep Lamichhane,Nepal
Oman,Papua New Guinea,"Ranchi Cricket Stadium, India",Oman,Khawar Ali,Oman
West Indies,India,"Al Amerat Cricket Ground, Oman",India,Rishabh Pant,West Indies
United Arab Emirates,India,"Hyderabad Cricket Stadium, India",United Arab Emirates,Ahmed Raza,India
Nepal,New Zealand,"Barsapara Stadium, India",Nepal,Paras Khadka,Nepal
Netherlands,Papua New Guinea,"National Stadium, Karachi, Pakistan",Netherlands,Pieter Seelaar,Papua New Guinea
Netherlands,West Indies,"Jaipur Cricket Stadium, India",West Indies,Kieron Pollard,Netherlands
Ireland,India,"Gaddafi Stadium, Pakistan",India,Virat Kohli,Ireland
Afghanistan,United Arab Emirates,"Lord's, England",United Arab Emirates,Ahmed Raza,United Arab Emirates
Bangladesh,Ireland,"Feroz Shah Kotla Ground, India",Bangladesh,Mahmudullah,Bangladesh
Papua New Guinea,India,"Tribhuvan University International Cricket Ground, Nepal",India,Hardik Pandya,India
Papua New Guinea,Afghanistan,"Jaipur Cricket Stadium, India",Afghanistan,Hazratullah Zazai,Papua New Guinea
Hong Kong,Netherlands,"Chinnaswamy Stadium, India",Hong Kong,Ehsan Khan,Hong Kong
Oman,Papua New Guinea,"Maharashtra Cricket Association Stadium, India",Papua New Guinea,Charles Amini,Papua New Guinea
Australia,Hong Kong,"Feroz Shah Kotla Ground, India",Australia,Mitchell Starc,Australia
Australia,New Zealand,"Raipur International Cricket Stadium, India",New Zealand,Kyle Jamieson,Australia
Afghanistan,Australia,"Kochi Cricket Stadium, India",Australia,David Warner,Afghanistan
New Zealand,Namibia,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Namibia,Ruben Trumpelmann,Namibia
Bangladesh,Netherlands,"Queen's Sports Club, Zimbabwe",Netherlands,Bas de Leede,Bangladesh
Zimbabwe,Papua New Guinea,"Wanderers Cricket Ground, Namibia",Papua New Guinea,Nosaina Pokana,Zimbabwe
Scotland,England,"Harare Sports Club, Zimbabwe",Scotland,George Munsey,England
Netherlands,South Africa,"The Grange Club, Scotland",Netherlands,Pieter Seelaar,Netherlands
Afghanistan,United Arab Emirates,"Browne Park, Montserrat, West Indies",Afghanistan,Rahmanullah Gurbaz,Afghanistan
Ireland,Netherlands,"Eden Park, New Zealand",Netherlands,Fred Klaassen,Ireland
England,Afghanistan,"Himachal Pradesh Cricket Association Stadium, India",Afghanistan,Rahmanullah Gurbaz,Afghanistan
India,United Arab Emirates,"Queen's Sports Club, Zimbabwe",United Arab Emirates,Muhammad Usman,United Arab Emirates
Bangladesh,Oman,"Sher-e-Bangla National Stadium, Bangladesh",Bangladesh,Mahmudullah,Oman
South Africa,Zimbabwe,"Sher-e-Bangla National Stadium, Bangladesh",South Africa,Kagiso Rabada,Zimbabwe
Oman,Netherlands,"Galle International Stadium, Sri Lanka",Netherlands,Pieter Seelaar,Oman
Oman,Zimbabwe,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, India",Oman,Aqib Ilyas,Oman
Bangladesh,South Africa,"Raipur International Cricket Stadium, India",Bangladesh,Shakib Al Hasan,South Africa
Ireland,Nepal,"Chinnaswamy Stadium, India",Ireland,Josh Little,Nepal
Zimbabwe,Netherlands,"Wankhede Stadium, India",Netherlands,Max O'Dowd,Zimbabwe
Hong Kong,Nepal,"Raipur International Cricket Stadium, India",Hong Kong,Ehsan Khan,Hong Kong
New Zealand,England,"Greenfield International Stadium, India",England,Jofra Archer,New Zealand
United Arab Emirates,Nepal,"Sabina Park, Jamaica, West Indies",United Arab Emirates,Ahmed Raza,United Arab Emirates
Ireland,Oman,"Sheikh Zayed Stadium, UAE",Oman,Zeeshan Maqsood,Oman
Pakistan,India,"Lucknow Cricket Stadium, India",Pakistan,Mohammad Rizwan,Pakistan
Oman,Nepal,"Vizag Cricket Stadium, India",Oman,Jatinder Singh,Oman
Sri Lanka,Pakistan,"Queen's Sports Club, Zimbabwe",Pakistan,Shaheen Afridi,Sri Lanka
Bangladesh,Australia,"National Stadium, Karachi, Pakistan",Bangladesh,Shakib Al Hasan,Bangladesh
Oman,Zimbabwe,"Eden Gardens, India",Zimbabwe,Sikandar Raza,Zimbabwe
South Africa,Afghanistan,"Lucknow Cricket Stadium, India",Afghanistan,Hazratullah Zazai,Afghanistan
Nepal,Papua New Guinea,"Sher-e-Bangla National Stadium, Bangladesh",Nepal,Gyanendra Malla,Papua New Guinea
United Arab Emirates,West Indies,"Sabina Park, Jamaica, West Indies",United Arab Emirates,Rohan Mustafa,West Indies
Afghanistan,Australia,"Greenfield International Stadium, India",Afghanistan,Rashid Khan,Afghanistan
Bangladesh,Nepal,"Raipur International Cricket Stadium, India",Nepal,Dipendra Singh Airee,Bangladesh
Bangladesh,Papua New Guinea,"Guwahati Cricket Stadium, India",Bangladesh,Mahmudullah,Papua New Guinea
Scotland,Zimbabwe,"Lucknow Cricket Stadium, India",Zimbabwe,Craig Ervine,Scotland
England,United Arab Emirates,"Dubai International Stadium, UAE",United Arab Emirates,Rohan Mustafa,England
Netherlands,Afghanistan,"Kanpur Cricket Stadium, India",Netherlands,Ben Cooper,Netherlands
Ireland,Netherlands,"Kanpur Cricket Stadium, India",Netherlands,Bas de Leede,Ireland
Australia,Papua New Guinea,"Wankhede Stadium, India",Australia,David Warner,Australia
Hong Kong,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Bangladesh",Afghanistan,Mohammad Nabi,Hong Kong
Papua New Guinea,Netherlands,"Newlands, South Africa",Papua New Guinea,Tony Ura,Papua New Guinea
Zimbabwe,Ireland,"Sharjah Cricket Stadium, UAE",Ireland,Paul Stirling,Ireland
Netherlands,Oman,"Gaddafi Stadium, Pakistan",Netherlands,Fred Klaassen,Netherlands
India,New Zealand,"Kanpur Cricket Stadium, India",India,Hardik Pandya,India
Australia,West Indies,"Indore Cricket Stadium, India",Australia,David Warner,Australia
Namibia,Bangladesh,"Pune Cricket Stadium, India",Bangladesh,Shakib Al Hasan,Bangladesh
Papua New Guinea,England,"Kabul International Cricket Stadium, Afghanistan",England,Ben Stokes,England
India,Bangladesh,"Wanderers Stadium, South Africa",India,Rohit Sharma,India
Zimbabwe,West Indies,"Browne Park, Montserrat, West Indies",West Indies,Andre Russell,Zimbabwe
Pakistan,West Indies,"Sabina Park, Jamaica, West Indies",Pakistan,Shaheen Afridi,West Indies
Namibia,New Zealand,"Wankhede Stadium, India",New Zealand,Trent Boult,New Zealand
West Indies,Oman,"Al Amerat Cricket Ground, Oman",Oman,Aqib Ilyas,West Indies
Sri Lanka,India,"Al Amerat Cricket Ground, Oman",Sri Lanka,Kusal Perera,India
Sri Lanka,Hong Kong,"Rajiv Gandhi International Cricket Stadium, India",Hong Kong,Nizakat Khan,Hong Kong
New Zealand,West Indies,"Wanderers Stadium, South Africa",New Zealand,Kyle Jamieson,New Zealand
Nepal,South Africa,"Saurashtra Cricket Association Stadium, India",South Africa,Anrich Nortje,South Africa
England,Sri Lanka,"Browne Park, Montserrat, West Indies",Sri Lanka,Lasith Malinga,Sri Lanka
Hong Kong,Namibia,"Providence Stadium, Guyana, West Indies",Hong Kong,Babar Hayat,Namibia
England,Nepal,"M. A. Chidambaram Stadium, India",England,Ben Stokes,England
Bangladesh,Nepal,"Galle International Stadium, Sri Lanka",Bangladesh,Mahmudullah,Bangladesh
New Zealand,Namibia,"Jharkhand State Cricket Association Stadium, India",New Zealand,Kane Williamson,Namibia
